content,file,codec,width,height,fps,crf,bitrate,vmaf,psnr
forest,forestAVC_cf35.mp4,h264,3840,2160,50,35,11862603,46.096353,33.78967225
forest,forestAVC_cf23.mp4,h264,3840,2160,50,23,63034619,86.866816,40.31668275
forest,forestAVC_cf17.mp4,h264,3840,2160,50,17,128406476,96.134589,43.768838124999995
forest,forestVP9_cf35.webm,vp9,3840,2160,50,35,81318917,91.107681,41.729246875
forest,forestVP9_cf25.webm,vp9,3840,2160,50,25,145428412,97.23614,44.79092375
forest,forestAVC_cf29.mp4,h264,3840,2160,50,29,28684468,69.494385,36.883496625
forest,forestHEVC_cf40.mp4,hevc,3840,2160,50,40,4230288,30.547362,32.69122312499999
forest,forestVP9_cf20.webm,vp9,3840,2160,50,20,179099823,98.554214,45.99438575
forest,forestHEVC_cf28.mp4,hevc,3840,2160,50,28,33291461,76.130322,38.422196625
forest,forestHEVC_cf34.mp4,hevc,3840,2160,50,34,13687865,55.146474,35.45426825
forest,forestHEVC_cf15.mp4,hevc,3840,2160,50,15,147758394,97.253483,45.387485375
forest,forestAVC_cf10.mp4,h264,3840,2160,50,10,272633946,99.990075,47.838369500000006
forest,forestHEVC_cf22.mp4,hevc,3840,2160,50,22,69415444,89.483418,41.54366687500001
forest,forestVP9_cf15.webm,vp9,3840,2160,50,15,222650468,99.525337,47.28550737500001
forest,forestVP9_cf30.webm,vp9,3840,2160,50,30,111728607,94.860096,43.326143125
