content,file,codec,width,height,fps,cfr,bitrate,vmaf,psnr
smithy,smithyHEVC_cf22.mp4,hevc,3840,2160,50,22,32872591,90.951493,41.91337312500001
smithy,smithyAVC_cf10.mp4,h264,3840,2160,50,10,165744791,96.354193,48.400402125
smithy,smithyHEVC_cf28.mp4,hevc,3840,2160,50,28,14223115,83.534398,38.680340125
smithy,smithyVP9_cf25.webm,vp9,3840,2160,50,25,62607228,93.9369,43.979022
smithy,smithyVP9_cf35.webm,vp9,3840,2160,50,35,29570875,89.427425,40.946861
smithy,smithyVP9_cf30.webm,vp9,3840,2160,50,30,44403038,92.241372,42.555172500000005
smithy,smithyAVC_cf17.mp4,h264,3840,2160,50,17,58520125,94.040953,44.10085425
smithy,smithyHEVC_cf15.mp4,hevc,3840,2160,50,15,83264873,95.119856,45.752280125
smithy,smithyAVC_cf35.mp4,h264,3840,2160,50,35,4357296,61.998692,34.13237875
smithy,smithyHEVC_cf40.mp4,hevc,3840,2160,50,40,1784609,45.709408,32.385770375
smithy,smithyAVC_cf29.mp4,h264,3840,2160,50,29,10681040,80.080276,37.322525375000005
smithy,smithyAVC_cf23.mp4,h264,3840,2160,50,23,25011043,89.539312,40.6639085
smithy,smithyVP9_cf15.webm,vp9,3840,2160,50,15,109570384,95.83665,46.409008
smithy,smithyHEVC_cf34.mp4,hevc,3840,2160,50,34,5597581,69.2107,35.48299625
smithy,smithyVP9_cf20.webm,vp9,3840,2160,50,20,82311146,95.005127,45.136386125
