content,file,codec,width,height,fps,crf,bitrate,vmaf,psnr
waterfall,waterfallAVC_cf17.mp4,h264,3840,2160,50,17,182180722,99.938809,42.751968999999995
waterfall,waterfallAVC_cf10.mp4,h264,3840,2160,50,10,387634755,99.997133,47.079949250000006
waterfall,waterfallAVC_cf20.mp4,h264,3840,2160,50,20,129079047,96.701726,40.948324375
waterfall,waterfallAVC_cf32.mp4,h264,3840,2160,50,32,23547068,56.491833,34.233047875000004
waterfall,waterfallAVC_cf35.mp4,h264,3840,2160,50,35,14417017,41.473261,32.804486
waterfall,waterfallAVC_cf26.mp4,h264,3840,2160,50,26,59343433,82.348099,37.440695500000004
waterfall,waterfallAVC_cf40.mp4,h264,3840,2160,50,40,6328534,20.550115,30.597475375
waterfall,waterfallAVC_cf14.mp4,h264,3840,2160,50,14,252754305,99.996083,44.547536375
waterfall,waterfallAVC_cf23.mp4,h264,3840,2160,50,23,89084734,90.881262,39.182744625
waterfall,waterfallAVC_cf29.mp4,h264,3840,2160,50,29,38050890,70.68673,35.776621250000005
